AVG_PAYLOAD,N_SERVERS,N_USER_PORTS,N_ACK,N_SYN,N_FIN,N_PSH,N_RST
51.8,2,2,4,2,0,1,0
1101.4,1,1,5,0,0,2,0
0.0,3,3,3,2,0,0,1
52.2,2,2,4,2,0,2,0
297.4,2,2,5,0,0,3,0
1038.4,1,1,5,0,0,1,0
63.0,3,3,4,0,0,1,1
195.2,1,1,5,0,0,2,0
279.4,1,1,5,0,0,2,0
15.8,1,2,4,2,0,1,0
366.8,1,2,5,0,0,4,0
1298.0,1,2,5,0,0,0,0
778.8,1,2,5,0,0,0,0
147.2,1,2,5,0,0,3,0
86.4,3,4,3,2,0,3,0
28.8,3,5,4,4,0,1,0
519.2,2,4,3,3,0,0,0
1038.4,2,3,5,1,0,0,0
1298.0,1,2,5,0,0,0,0
1298.0,1,2,5,0,0,0,0
1038.4,2,3,5,0,0,0,0
205.4,2,3,5,0,0,3,0
778.8,2,3,5,0,0,1,0
582.2,2,3,5,0,0,1,0
1298.0,2,2,5,0,0,2,0
746.2,3,4,5,0,0,3,0
0.0,2,4,3,0,0,0,2
0.0,2,2,5,0,0,0,0
0.0,2,2,5,0,0,0,0
544.8,1,2,5,0,0,2,0
159.8,2,3,5,0,0,4,0
29.2,2,3,5,0,0,1,0
29.2,3,5,5,0,0,1,0
1055.8,3,4,5,0,0,2,0
1038.4,2,3,5,0,0,0,0
1298.0,1,2,5,0,0,0,0
1298.0,1,2,5,0,0,0,0
1298.0,1,2,5,0,0,0,0
1298.0,1,2,5,0,0,0,0
1298.0,1,2,5,0,0,0,0
537.8,2,3,5,0,1,3,0
0.0,3,4,4,0,0,0,1
4.8,1,1,3,0,1,1,2
350.4,3,4,4,0,0,2,1
186.8,1,2,5,0,0,3,0
62.2,1,2,5,0,0,5,0
69.0,2,3,4,1,0,3,0
170.2,2,4,3,4,0,1,0
8.0,3,5,5,1,0,1,0
310.2,2,3,5,0,0,3,0
1038.4,1,2,5,0,0,2,0
1038.4,2,2,5,0,0,2,0
